y_type,model_structure,time_and_region,estimator_column_name,term,coeff
time_since_infection,full,1m_v3,PFitter.time.est,est,0.02
time_since_infection,full,1m_v3,PFitter.time.est,Intercept,38.6
time_since_infection,full,1m_v3,PFitter.time.est,lPVL,2.31
time_since_infection,full,1m_v3,PFitter.time.est,lPVL:est,0
time_since_infection,full,1m_v3,PFitter.time.est,bound,-0.02
time_since_infection,full,1m_v3,PFitter.time.est,bound:est,0
time_since_infection,full,1m_v3,Synonymous.PFitter.time.est,est,0.14
time_since_infection,full,1m_v3,Synonymous.PFitter.time.est,Intercept,36.11
time_since_infection,full,1m_v3,Synonymous.PFitter.time.est,lPVL,2.97
time_since_infection,full,1m_v3,Synonymous.PFitter.time.est,lPVL:est,-0.02
time_since_infection,full,1m_v3,Synonymous.PFitter.time.est,bound,-0.07
time_since_infection,full,1m_v3,Synonymous.PFitter.time.est,bound:est,0
time_since_infection,full,1m_v3,multifounder.PFitter.time.est,est,0.03
time_since_infection,full,1m_v3,multifounder.PFitter.time.est,Intercept,46.87
time_since_infection,full,1m_v3,multifounder.PFitter.time.est,lPVL,1.07
time_since_infection,full,1m_v3,multifounder.PFitter.time.est,lPVL:est,0
time_since_infection,full,1m_v3,multifounder.PFitter.time.est,bound,0.03
time_since_infection,full,1m_v3,multifounder.PFitter.time.est,bound:est,0
time_since_infection,full,1m_v3,multifounder.Synonymous.PFitter.time.est,est,0.95
time_since_infection,full,1m_v3,multifounder.Synonymous.PFitter.time.est,Intercept,31.2
time_since_infection,full,1m_v3,multifounder.Synonymous.PFitter.time.est,lPVL,2.07
time_since_infection,full,1m_v3,multifounder.Synonymous.PFitter.time.est,lPVL:est,-0.06
time_since_infection,full,1m_v3,multifounder.Synonymous.PFitter.time.est,bound,0.08
time_since_infection,full,1m_v3,multifounder.Synonymous.PFitter.time.est,bound:est,0
time_since_infection,full,1m_nflg,PFitter.time.est,est,0
time_since_infection,full,1m_nflg,PFitter.time.est,Intercept,41.6
time_since_infection,full,1m_nflg,PFitter.time.est,lPVL,0.14
time_since_infection,full,1m_nflg,PFitter.time.est,lPVL:est,0
time_since_infection,full,1m_nflg,PFitter.time.est,bound,0.04
time_since_infection,full,1m_nflg,PFitter.time.est,bound:est,0
time_since_infection,full,1m_nflg,Synonymous.PFitter.time.est,est,-0.14
time_since_infection,full,1m_nflg,Synonymous.PFitter.time.est,Intercept,44.61
time_since_infection,full,1m_nflg,Synonymous.PFitter.time.est,lPVL,0.01
time_since_infection,full,1m_nflg,Synonymous.PFitter.time.est,lPVL:est,0
time_since_infection,full,1m_nflg,Synonymous.PFitter.time.est,bound,0.02
time_since_infection,full,1m_nflg,Synonymous.PFitter.time.est,bound:est,0
time_since_infection,full,1m_nflg,multifounder.PFitter.time.est,est,-0.03
time_since_infection,full,1m_nflg,multifounder.PFitter.time.est,Intercept,42.51
time_since_infection,full,1m_nflg,multifounder.PFitter.time.est,lPVL,0.03
time_since_infection,full,1m_nflg,multifounder.PFitter.time.est,lPVL:est,0
time_since_infection,full,1m_nflg,multifounder.PFitter.time.est,bound,0.04
time_since_infection,full,1m_nflg,multifounder.PFitter.time.est,bound:est,0
time_since_infection,full,1m_nflg,multifounder.Synonymous.PFitter.time.est,est,-0.46
time_since_infection,full,1m_nflg,multifounder.Synonymous.PFitter.time.est,Intercept,48.86
time_since_infection,full,1m_nflg,multifounder.Synonymous.PFitter.time.est,lPVL,-0.27
time_since_infection,full,1m_nflg,multifounder.Synonymous.PFitter.time.est,lPVL:est,0.02
time_since_infection,full,1m_nflg,multifounder.Synonymous.PFitter.time.est,bound,0
time_since_infection,full,1m_nflg,multifounder.Synonymous.PFitter.time.est,bound:est,0
time_since_infection,full,6m_pooled,PFitter.time.est,est,0.01
time_since_infection,full,6m_pooled,PFitter.time.est,Intercept,188.42
time_since_infection,full,6m_pooled,PFitter.time.est,lPVL,-1.16
time_since_infection,full,6m_pooled,PFitter.time.est,lPVL:est,0
time_since_infection,full,6m_pooled,PFitter.time.est,bound,0.02
time_since_infection,full,6m_pooled,PFitter.time.est,bound:est,0
time_since_infection,full,6m_pooled,Synonymous.PFitter.time.est,est,0.24
time_since_infection,full,6m_pooled,Synonymous.PFitter.time.est,Intercept,178.07
time_since_infection,full,6m_pooled,Synonymous.PFitter.time.est,lPVL,-0.8
time_since_infection,full,6m_pooled,Synonymous.PFitter.time.est,lPVL:est,-0.01
time_since_infection,full,6m_pooled,Synonymous.PFitter.time.est,bound,0.06
